gene_id	Intercept	condition_adult_pzq_vs_adult_control	condition_juvenile_control_vs_adult_control	condition_juvenile_pzq_vs_adult_control
Smp_006320	11.3881209221938	0.326108122644121	0.633505410443754	0.480353962185329
Smp_006340	11.4447161600105	-0.201193379426252	0.316771201597674	0.0585366528262137
Smp_006350	11.771201775432	0.19204564619511	0.604806085422511	0.556979249428025
Smp_006390	12.7124043292169	-0.00780037167694355	0.215800941603062	0.23349817961889
Smp_006440	10.9727901119197	0.264425350409568	0.477755113383908	0.424376465975508
Smp_006550	11.9144900641634	-0.156502651304454	-0.194382627443219	-0.24766857063311
Smp_006560	10.3828406239867	-0.317541317613983	-0.41781432420053	-0.642220509569004
Smp_006590	9.10874625766253	-0.0758361375415152	0.00108148947613776	0.108532550838225
Smp_006630	10.6526924607459	0.0866377107021572	0.0197758686384052	0.0564243255975726
Smp_006680	11.3415026523616	-0.634195017005303	-0.298890349603092	-0.783168549219882
Smp_006690	9.78582096843549	0.0820214930157926	-0.120631955171692	0.0543254675952743
Smp_006700	10.010877961989	0.268124533483679	0.275914312321222	0.283021868983344
Smp_006710	9.77187626346012	0.0824843096444839	0.373306212440815	0.406247454047144
Smp_006720	10.5871338069357	-0.141530096752716	0.107061355902396	-0.0126113122667917
Smp_006730	11.7953855622937	0.520245417371896	-0.257219579349075	0.470550192527428
Smp_006750	10.7218212152019	-0.688860456572215	-0.00603069328728917	-0.608843699192494
Smp_006760	9.83291509977265	-1.26109684548111	-0.718302082428451	-1.16834727108055
Smp_006780	10.8830912608809	-0.294616034215599	0.0165455444852709	-0.194972977211876
Smp_006810	11.3201749091828	0.0738124493154488	0.592969637018402	0.575939657971173
Smp_006830	11.2306782931743	-0.0524280866603958	-0.206885256571065	-0.240557929127807
Smp_006840	10.3534083238268	-0.173140318367496	-0.732864620334509	-0.59290458196182
Smp_006850	10.4515503498389	-0.224080215464724	-0.356224489842025	-0.433573855769963
Smp_006860	13.2527992250477	-0.906565978348175	-0.427501429320641	-0.773889385914329
Smp_006920	10.3636738288234	-0.0707629828726047	0.078548614693841	-0.0258220586821868
Smp_006930	11.4010970306485	-0.135624599126739	-0.44057010609957	-0.259371587141627
Smp_007000	7.01746159462532	-0.603613834924225	-0.0732141065892579	-0.550919373089416
Smp_007070	7.46911191181812	0.619172712817945	0.351316910901657	0.399421416796817
Smp_007170	11.5877100290468	0.0465420446153698	-0.387344060804846	-0.292302618790133
Smp_007180	10.6758114382784	0.291537102332225	0.426617372239804	0.48454891106399
Smp_007190	10.6785648762516	0.161505740368139	-0.26762724202645	-0.0359547879416562
Smp_007210	9.86449202683939	0.00870184041944839	0.217604644145749	0.219805266124831
Smp_007260	13.8412017622969	0.408414583288381	0.296505573198293	0.358801251065289
Smp_007270	11.9002403712819	-0.362017314153307	-0.661485920306697	-0.760480325486386
Smp_007290	7.8486250350982	0.294926674923725	0.132414424942822	0.304426499658846
Smp_007300	13.0836189249802	-0.279114767535934	0.0629384229528045	-0.276374867484819
Smp_007330	9.59800267726827	0.776190417694475	0.532308225422588	0.754090630285313
Smp_007380	11.5516930395593	-0.0849937487015948	-0.036354884614563	-0.0381761355777799
Smp_007450	10.7192474369629	-0.74393137169429	0.371968581868033	0.103222339980931
Smp_007500	12.2245835840421	-0.144774040037503	-0.273474998506808	-0.339899113392179
Smp_007510	10.5770413057638	0.447051811952381	0.368897951460761	0.410288156541701
Smp_007540	9.2909607044301	-0.161747061895666	0.0242645296155489	-0.0897364619205138
Smp_007550	12.3048282618543	-0.789100514720177	-0.320101771094109	0.291297204686885
Smp_007570	4.36758503037586	0.715921155130596	-1.29855097376086	-1.06564707226264
Smp_007630	11.7095663098374	-0.0954867873829813	0.161581049706537	0.049076829966262
Smp_007650	12.6395676411575	-0.216066890546504	0.639944680011106	0.315314230167962
Smp_007660	10.7862205769663	0.0400759280015566	0.217988336519925	0.153879951719218
Smp_007670	9.17258397727071	-1.23913914172638	-1.68214565927718	-1.79657429150256
Smp_007690	5.03289816150092	0.859563509955264	1.26270362778885	1.39161550834077
Smp_007710	10.3524342578419	0.243058299258124	-0.173665628581334	0.0835967174485036
Smp_007730	11.6611862128309	0.0899259253343506	0.201955880842978	0.166320056705125
Smp_007760	10.9185761742649	0.563792116467332	-1.12288036493567	-0.143440032717588
Smp_007890	9.87467179766696	-0.0593657618185183	-0.208536333560075	-0.157661648265766
Smp_007900	12.7214328314113	-0.136917099458736	-0.276560440277175	-0.304298848641586
Smp_007960	11.2705558220368	-0.11184757657545	-0.63703573376667	-0.470265388977495
Smp_007970	10.1719682859907	-0.301361966901144	-0.0388116695953938	-0.1946257755488
Smp_008070	14.246808118086	-0.661755906109093	-0.352778153713695	-0.361295391239517
Smp_008120	10.203693721903	0.248730614157571	0.130877838699992	0.15358855165939
Smp_008140	9.67161559687987	0.193287853964455	0.188381501318918	0.351353455180075
Smp_008220	9.45959428320615	-0.400640621328937	-0.114902391144145	-0.257566771847726
Smp_008230	11.8322487955389	-0.115818487263193	-0.786699015271496	-0.497454144059115
Smp_008260	11.1039336853187	0.198056973253919	-0.119609329604042	-0.0308427295902739
Smp_008290	10.0887408305765	0.177835806048862	-0.205433177744125	-0.116939632213175
Smp_008310	12.4481001154712	-0.331948550920206	0.0015274775046816	-0.372472050811741
Smp_008320	12.1937533226394	0.0119154753654384	0.0588887553966826	-0.0018616654307634
Smp_008360	10.4763830363361	1.13306893235032	-0.407948226989741	0.344001575139122
Smp_008400	0.471820401375735	-0.301146048782629	0.307599742867731	0.0932586122789918
Smp_008430	11.6777110934066	-0.0427986854981632	0.107644374765286	0.0518181358770029
Smp_008440	10.5967441592972	-0.437949051659458	0.0298358221409474	-0.380931499524801
Smp_008450	5.35053666643876	-0.100803151499403	-0.0987819389471069	0.28159237464261
Smp_008470	11.3556842623553	0.224891699927782	-0.229275157170985	-0.00558361838575616
Smp_008490	12.7029467893095	-0.677086984294482	0.0691576189840127	-0.297929615913823
Smp_008500	11.1721755243321	0.166040978610618	0.000120725961952946	0.0989176958863175
Smp_008545	14.2479520782267	-0.381950160828901	-0.301204665996563	-0.174912882871562
Smp_008580	11.2404501696588	-0.422596746462571	-0.248191722298303	-0.384847661544802
Smp_008610	12.0670446622297	-0.327997601933787	0.137983692432981	-0.0963401485053725
Smp_008620	9.97563913098504	0.075907686362042	-0.014334875807724	0.260380625215522
