gene_id	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_000810	2418.6994643770104	811.9660165873547	1937.9149141807964	969.1439721549091	1027.6416487152628	705.8717986286663	500.6388781859314	476.03867469218187	685.7894108882524	831.805211721852	801.8915477706333	686.8030199064153	424.0831955945911	286.55314558961317	624.5590759151615	1193.8132754922115	1005.1433502115526	263.87712846631064	416.6825768901828	436.17698718573587	471.4529679642222	487.741020063752	454.4389937330818
Smp_000820	62.48068072434679	60.12988487092674	67.01979764023423	76.55469304312352	55.0183379958797	344.3459774628241	128.83774098127134	64.07253327283615	102.29925030461892	88.15363063814426	311.39657115506924	7639.876052932392	1266.6276117672692	1327.413848517183	4372.447570332494	6163.984967566485	2621.3638491754937	599.5393164591147	7696.070341129355	6867.858696652641	7426.5437787081	7790.308531059489	7151.217331671666
Smp_000830	0	5.014045042652596	0	0	15.976288973697034	5.973753168157561	0	0	1.999170654326803	8.980795829601176	2.988578403130611	25.074357129692117	1.9944498175029732	0	9.011485879820205	11.884149175531043	14.004428441295328	0	5.977415345057858	16.977827486541358	19.02263389200754	18.97153477075441	12.769630081980004
Smp_000850	2099.6139833024513	973.483297124535	1977.8672966240513	636.076018795085	750.873422669857	341.12614993153136	373.91835340146594	294.8712720695433	409.8397001706293	583.1176542313725	473.3521033700821	3695.4888648244487	3440.3224313291557	3884.78085314025	1527.264794587742	3685.0810273320853	2136.935140622575	2099.3804046077857	2830.296170566551	2401.448328478319	2621.8304760655865	2508.29204917345	2224.625821550243
Smp_000870	1053.6601149074393	518.8995682375631	1029.394375305514	906.0657941726881	1152.7296331698576	543.6738575384472	388.6575706750855	359.4652844498065	565.0430145592519	1003.0393698146032	744.9204637561738	1408.1343789297453	277.37761588684486	198.91574721509627	519.8976520300465	865.2097528597137	586.6569640401916	164.7769641203955	1027.25417515874	847.560658362684	835.22363994333125	866.3808233506995	898.6248287106805
Smp_000880	19480.658003808257	6254.193505492003	15307.230705575512	4794.417521988475	4955.000620271916	3837.0803202246825	2628.7460847721713	2104.980529631627	3020.5266954813746	3188.581796545599	7255.002486605446	5489.572198168312	6420.225810361172	5281.895758880554	10742.73782538061	16564.120455371787	12967.97123329901	2355.2759147289967	5403.408613340969	5422.962374858582	6934.952685372321	7763.25489371077	7837.448215551811
Smp_000900	1.0019122947418073	1.0014836384977817	3.9860280933467296	10.023512743214939	8.993582684913271	2.992937930610635	11.992753679135502	4.0096183365783755	0.9998872908022237	0.9994394477642777	1.9962835137532875	525.0294203901834	75.88639593110535	81.62163087747565	716.2686993311484	1184.1005724936122	616.7017638515058	72.59056957938688	322.0459369041111	277.81962259583725	189.03906824107756	179.7718726236441	127.58827916373112
Smp_000910	50.13927125110951	24.05986026723998	36.85529970806167	183.60736515966715	243.82859340857985	2819.7014586775003	1845.121149583788	1387.1267619210107	1863.2078584220842	2473.193182847906	1452.0559945316957	317.68401691185215	28.935642825987077	21.88992736498668	224.23545069092364	316.99979681722016	267.0428848089422	20.865487729443775	158.27888570948406	151.850534887977	125.12680308579219	101.87902013569756	131.26003786245596
Smp_000950	25.090596751661735	4.013662848800527	9.95873525162715	171.72127516305738	292.77359208948667	0.996252168970048	0	2.0123332471385056	2.0003846221236903	1.9969440377604075	0	30.107434467216393	611.2663019867049	511.2121920458172	24.04526267364394	126.84254556776015	34.152951849080054	355.5419419796899	17.943277488966327	16.988176876448875	16.028768969705247	10.990218475405817	21.623655922713
Smp_000980	7145.749322592222	2564.186513556848	6226.137735913409	8920.905382203518	9679.329954322227	6741.812536006985	4914.1537908491655	3778.326827871621	5965.254861244074	7057.38665725896	8511.138745957027	4630.860762775673	2426.09530026016	2298.9319715497486	6727.715598261345	11103.512039199326	9023.3381297069809	1581.5584514491156	4137.418510382009	3979.768304727106	4163.863991749506	4079.3440566331083	3424.053983957834
