gene_id	Intercept	condition_cercaria_male_vs_cercaria_female	condition_cercaria_mixed_vs_cercaria_female	condition_egg_mixed_vs_cercaria_female	condition_juvenile_26d_female_vs_cercaria_female	condition_juvenile_26d_male_vs_cercaria_female	condition_miracidium_mixed_vs_cercaria_female	condition_schistosomulum_2d_female_vs_cercaria_female	condition_schistosomulum_2d_male_vs_cercaria_female	condition_schistosomulum_2d_mixed_vs_cercaria_female	condition_sporocyst_1d_mixed_vs_cercaria_female	condition_sporocyst_32d_female_vs_cercaria_female	condition_sporocyst_32d_male_vs_cercaria_female	condition_sporocyst_32d_mixed_vs_cercaria_female	condition_sporocyst_5d_mixed_vs_cercaria_female
Smp_341070	10.4763814934375	-0.100573889442978	0.047802499802454	-1.28250968847339	-1.9926010701636	-2.40217066310329	-1.45879927578168	-1.99650276367585	-2.26106102578063	-2.14719518141512	-3.49613887082965	-1.84292804320769	-1.78708320580165	-1.46533830044397	-1.98404653515335
Smp_341080	14.8392458685385	0.412123115351537	0.255144185683381	0.437622104346486	1.2497614271208	1.13845728129718	0.833373431014992	0.982156882278525	0.291402196731956	0.109537837106565	1.13432876808645	-0.730384152058966	-0.927292051827191	0.00639577206036188	-0.63316743675264
Smp_341090	9.98515404598894	-0.242507743265924	-0.069388192117485	-0.911180483111289	-0.984967367626116	-0.903542380437059	-0.237932136720199	0.241933591798253	0.100769480352185	0.0896115145177314	0.228640210049929	-0.719643502156757	-0.938471101824188	-1.02888910216835	-0.338771365361652
Smp_341100	11.3087073332811	0.0312970923228162	0.190895417449124	-0.369926601177484	0.245980828138053	0.15067446831344	-0.556506106079198	0.164710072351991	0.324291916695299	0.184392824875945	0.130824083257981	-0.13373178032448	-0.093904306553331	-0.0564108508927689	0.0708186789068098
Smp_341110	13.5328670177874	-0.145998966196036	-0.0764004494647069	-1.37405085970395	-0.547425564064723	-0.61823699117987	-1.69084808065445	-0.717723428911518	-0.907782434192737	-0.848156828196769	-1.06545523087713	-1.38619306424683	-1.27376969237994	-1.22311108121725	-1.33865901984944
Smp_341120	10.9702997752526	0.0544249463165177	0.0926808494629999	-1.2311938400291	-0.830910454009719	-0.748499371714727	-0.636466562016431	-0.437078438183467	-0.342247716263404	-0.355282930109657	-0.475919990178837	-0.905737889250045	-0.958725103250638	-1.1117199117688	-0.99383791323709
Smp_341130	-1.79105207562055	1.8357450017967	2.60636491054285	3.5787713551563	0.114184957741929	0.855496602166009	2.10742765573753	1.70914871569672	2.42055003717771	2.99984720026512	-0.522789458153744	4.21561892405227	4.62492659573961	4.08120911307448	2.99653468210813
Smp_341140	9.06662555806714	0.182546758299829	-0.301020091977438	-0.463672870353542	0.0284626233556834	0.281171009588351	-1.3793213065535	0.118142421205893	0.583455980187562	0.214552215020457	-1.31603156474098	0.148751082714981	0.0237148832768188	-0.358411230177305	-1.08662441070985
Smp_341150	8.01108667858937	0.287096775832173	0.120931251531887	0.136245002219423	0.109240781562867	-0.0822530619285597	2.08906747684645	-0.0916115557667643	0.164654374126983	-0.115377552433636	-1.31162588396472	-0.195427949199982	-0.236923308074332	0.471592137670771	-0.387430853937734
Smp_341160	12.9975070339861	-0.513609947892753	0.0410621741398301	-2.37052332139971	-1.57771914299771	-1.76976654097917	-2.48924093636898	-1.52397845810204	-1.56111113537079	-1.46352412313029	-2.0245269720175	-2.59673037538496	-2.54184519023973	-2.29108276412416	-1.28322987332336
Smp_341170	11.0694377113946	-0.0607188531635825	-0.00944915825046414	-0.988299669477769	-0.920274999010578	-1.26517276673282	-1.04050733784834	-0.259692863613238	-0.559853685359501	-0.407057107505753	-1.13459693327125	-1.37338437204276	-1.58555667972735	-1.57689749961347	-0.793438776987497
Smp_341180	11.839100578908	-0.277703662285828	-0.186635720124151	0.825683274614801	0.50986988838885	0.330014553889463	0.755344068989346	1.20614565175336	1.13498181872446	1.14633509923799	1.29571838060642	-0.187053342642667	-0.136985425921764	0.0861538182007575	0.8829820146066
Smp_341190	1.45223748707268	-0.587662948818197	-0.628524188117525	0.979849542545168	3.69246463698655	3.37987592292365	-0.867952034436174	0.595638545347146	-0.983057362740183	0.12952689404357	2.67866427711056	5.08903889338926	4.81842829292412	4.40096501792741	1.34818518614664
Smp_341200	11.118692038823	-0.0996456706839588	0.0552268796022761	-0.216998184569076	0.54129340798862	0.420870380379899	-0.205699142011602	0.329328270221925	0.229239628942633	0.226948235866489	-0.454028856632121	0.351235936155907	0.302570334704046	0.210360789716619	-0.0778045106215264
Smp_341210	7.7695894317096	0.280530808833066	0.0602464690079203	-4.02599841462232	1.03626543738537	-0.0267267858190525	-4.72928978893945	1.8278669902792	1.7512965267857	1.41504025126403	-3.6386521584787	-2.39746506866322	-1.78579209597333	-3.54226863952347	-3.8334751217568
Smp_341220	10.3125217850091	0.192992750164969	0.196269691003055	-0.306541575118858	-0.999072138124955	-1.15554702663412	0.0825060490164034	-0.182712486823923	-0.0131075609369041	0.019339992569338	0.463747525858936	-0.778695393037897	-0.991711647810461	-0.951770410042393	-0.385101085180106
Smp_341230	12.3376321440036	-0.120729501955373	-0.151894918054688	-0.172076850810249	-0.509381499946197	-0.832137398729852	-1.26286190252187	-0.430635439210531	-0.712835515046778	-0.481760837232016	-1.41896575807588	-0.824176635830784	-0.746449853885122	-0.471542438122325	-1.03069967797325
Smp_341240	10.9835651640899	0.323552495688799	0.124630405697182	1.36269590859376	0.550366939981547	0.583091592931983	3.61425983200424	0.434976898436984	0.417587051322209	0.506060266447658	2.71738643498438	1.72159788572382	1.85933348978198	2.00137962993095	2.02589419804743
Smp_341250	-1.79103748270487	-0.207020905024147	-0.333579030638688	-0.375545853031868	-0.40004875523273	-1.10765300678401	0.450517267764979	-1.01447263282915	-1.24815971556487	-0.114983818216369	0.606214114512509	0.489591095236045	0.249682837089953	0.354159101066087	2.75534264083397
Smp_341260	8.29761387095753	-0.504337025850767	-0.281583873939039	0.825338067004507	2.3332778229186	2.61384574649454	2.59043797886322	1.0025651398635	1.4295614447575	0.95752657977686	1.2485592670552	2.33887244654672	2.20950184397518	2.33088141887978	1.74924815793359
Smp_341270	-1.79100321603044	6.30741603662576	5.14057389575988	-0.952668099187646	7.54603445657494	8.02582631158055	-0.425121526761925	-0.437460447625407	8.65179316590904	5.84452222993744	-1.09991462049719	3.28144655940422	0.249656029935561	0.894078569872468	-1.18131347178906
Smp_341280	2.9301517490329	-0.531814451298797	-1.17357245189881	2.38197480124248	0.903068849646208	-0.082930497362543	2.39042088285874	1.20858816376008	0.995768839666318	0.819819930752984	1.43519558410159	0.415317161023531	0.193067467681173	0.347340924893624	1.32593115253867
Smp_341290	10.5459211046112	-0.220583911636049	-0.378873877738953	-5.85194686106878	-3.24112111091092	-4.42890411130625	-3.89860099310087	-0.192533774688618	-0.824073881199232	-0.758526465158381	-6.50418053830301	-5.09944713118128	-4.56440735851591	-3.97778344970067	-6.46812376730846
Smp_341300	15.1978076178643	-0.216544859586272	0.0970679703222852	-2.55413167941409	-1.8494546377534	-1.74643634299822	-1.81454465109256	-3.12134662254139	-3.23282667163097	-3.3280923921773	-2.03350796672454	-1.33406389309152	-1.34462904954409	-1.60949862907236	-2.07572860021279
Smp_341310	8.03952985521598	-0.0339947309972061	-0.419016282651382	1.70976465943257	1.79415410389787	2.9655766839738	1.97654783162319	2.19912739666336	2.81846836539422	2.34877210362041	0.824942802161456	0.810680977809384	0.901643397078374	0.505726684178666	0.642985553677011
Smp_341320	8.48463584734861	-0.21321189103136	-0.0130742346671222	-0.151203611692358	0.841679979542727	0.367468536510718	-0.411713977925662	-0.0328693607423259	-0.287495554810202	0.0865867431813873	-1.23065353826697	1.25027960794734	1.29403402741546	1.5098492622417	0.371136476525503
Smp_341330	11.2550097798795	1.00344219674452	0.481815959799869	0.515946864671318	0.351546235953021	1.12592686725714	1.37707919731679	0.557044902982608	1.15396884267887	1.06689070081705	2.22222818538251	0.915578870635052	1.22317801735542	1.29437855334843	1.76110339347029
Smp_341340	2.7853392925302	0.0871477559215407	-0.0321357725575195	-2.10478600475611	1.57018219870328	-0.987933633483346	-1.67048318090948	-0.026610848505589	0.824215848516005	0.859853240453528	-5.09917573806634	-4.08676536308084	-3.16247628372886	-4.22220154502293	-2.94527906247424
