run_accession	sample_id	mate	filename	expected_bytes	observed_bytes	expected_md5	observed_md5	observed_sha256	gzip	status
ERR11178372	m_32d_sporocysts_r1	1	ERR11178372_1.fastq.gz	801195003	801195003	8527dad7eb1d5c1611af1abbdfacb63b	8527dad7eb1d5c1611af1abbdfacb63b	0be2c4a300c49a8435036667d25ea78f968c79f29d1a116de2428851962e86b7	PASS	PASS
ERR11178372	m_32d_sporocysts_r1	2	ERR11178372_2.fastq.gz	861758466	861758466	7a3d13641efb63e4aea4721f3792d817	7a3d13641efb63e4aea4721f3792d817	69a03afe876137577df3af0ee0336ecdfc5718fc27436fef6a645c7147f076f8	PASS	PASS
ERR11178292	m_32d_sporocysts_r2	1	ERR11178292_1.fastq.gz	1293276174	1293276174	3890b00d8806a57d30fa46a2f553c3fe	3890b00d8806a57d30fa46a2f553c3fe	25d1a53e0cdbadb7c2f3f86820ef22201ce7fbfd273e8a6c8e41c1d4ae6a8f1b	PASS	PASS
ERR11178292	m_32d_sporocysts_r2	2	ERR11178292_2.fastq.gz	1396229803	1396229803	28f616182213dcedcb74d1eb0ad50e64	28f616182213dcedcb74d1eb0ad50e64	e00ee1ee9c3366394609b6b32fc7b698115404cfdf51fa50e0c2e4ae2c17c45e	PASS	PASS
ERR11178382	m_32d_sporocysts_r2	1	ERR11178382_1.fastq.gz	1260191291	1260191291	855145f01c1e3c694b85c151282a3c8f	855145f01c1e3c694b85c151282a3c8f	91825ddc9ccf1d9759d6989c1df8f4dd89ba74a1c5696e0aaa9bddf3f55b833a	PASS	PASS
ERR11178382	m_32d_sporocysts_r2	2	ERR11178382_2.fastq.gz	1395229424	1395229424	d6e7e4701237be7f5ef6f0603bfb00b6	d6e7e4701237be7f5ef6f0603bfb00b6	3fd2ea4d85b86904a98dece0eca13cd0a16ac12bbd5c85654ef2b5e01d97aade	PASS	PASS
ERR11178301	m_32d_sporocysts_r3	1	ERR11178301_1.fastq.gz	980046779	980046779	415da16e26e183ed42597d2533239c50	415da16e26e183ed42597d2533239c50	86975d853ae42faeba06ec4edac357588956771406e19e13657b86e5ce73c7ce	PASS	PASS
ERR11178301	m_32d_sporocysts_r3	2	ERR11178301_2.fastq.gz	1028284654	1028284654	457142bb6580c772f72161f6708a806b	457142bb6580c772f72161f6708a806b	56092cb0e16b3c685ebb4a0e28fd0a70d98abcc1075fd88cd60e049ec8dc685b	PASS	PASS
ERR11178391	m_32d_sporocysts_r3	1	ERR11178391_1.fastq.gz	947478068	947478068	47719b7652ec564008bc5ac561789c12	47719b7652ec564008bc5ac561789c12	749b383e15a29cbf3ca04dadfeda79748ea59036d403319f7cf1665af5470bf7	PASS	PASS
ERR11178391	m_32d_sporocysts_r3	2	ERR11178391_2.fastq.gz	1021275028	1021275028	2991fab549c4e7213dfa123918238840	2991fab549c4e7213dfa123918238840	9873843669abe0ea1659fe6ecd6814867deca3141ffcc9565ab8bde4f1d09efc	PASS	PASS
ERR11178310	m_32d_sporocysts_r4	1	ERR11178310_1.fastq.gz	2160812991	2160812991	d41b387425d6688863f0d797bdae36ba	d41b387425d6688863f0d797bdae36ba	f3857fdf4214ab156796942b80a9f96fe9fad0d9bceb90d35c2a236d4c09416c	PASS	PASS
ERR11178310	m_32d_sporocysts_r4	2	ERR11178310_2.fastq.gz	2290525875	2290525875	07552ca4f62e8b30f922b6d4bb44831d	07552ca4f62e8b30f922b6d4bb44831d	80063cb31f6775b3a273aa8c92517192ddb30c5a6743cd90e84f36806cfff675	PASS	PASS
ERR11178400	m_32d_sporocysts_r4	1	ERR11178400_1.fastq.gz	2154386513	2154386513	4f0dd3eb035cc285a8d68384fa9a25bc	4f0dd3eb035cc285a8d68384fa9a25bc	67fce88be8e2fecc6fddb64dfdd563d4c56ac570f062f93e6ea9d948ccafc757	PASS	PASS
ERR11178400	m_32d_sporocysts_r4	2	ERR11178400_2.fastq.gz	2326993785	2326993785	6fe9765428119e0467c1bc489a14860a	6fe9765428119e0467c1bc489a14860a	add8fe448de77aa72c41c457e1137c77d05eb0d530d416db5a3a9d86c203ce8f	PASS	PASS
ERR11178319	m_32d_sporocysts_r5	1	ERR11178319_1.fastq.gz	1249506876	1249506876	8d7659864df59303ed2a9416f5700a8f	8d7659864df59303ed2a9416f5700a8f	f051f49ff7036fac70451d746d13abee1ef43b9509b6377bb2adaabba3137c13	PASS	PASS
ERR11178319	m_32d_sporocysts_r5	2	ERR11178319_2.fastq.gz	1334138787	1334138787	98496862181a923462d83759c3610582	98496862181a923462d83759c3610582	7ae3e79afe5216e30e0e3b0d66a6ce83763e68cc3bbef8d2339826f8d7be29de	PASS	PASS
ERR11178409	m_32d_sporocysts_r5	1	ERR11178409_1.fastq.gz	1221407661	1221407661	13284255a2c13a24be8da4e9491e588a	13284255a2c13a24be8da4e9491e588a	f63d863d33e57aa613ee535ec32dd7ff96db9f4780fa9e6eb2e4ff804c96b7ff	PASS	PASS
ERR11178409	m_32d_sporocysts_r5	2	ERR11178409_2.fastq.gz	1339626004	1339626004	fab4b1d1e7db90c516f38f6327fa5828	fab4b1d1e7db90c516f38f6327fa5828	b1c7dc8da37430306ba4110752c210b053dbb5a598e66d1fd0b467ec880fb405	PASS	PASS
ERR11178327	x_32d_sporocysts_r1	1	ERR11178327_1.fastq.gz	1986374453	1986374453	a02372a3b457f40949b3b97bb33c556d	a02372a3b457f40949b3b97bb33c556d	98154a032ddbdbae793043daec67da53598f823c94b431e819017b465d868d62	PASS	PASS
ERR11178327	x_32d_sporocysts_r1	2	ERR11178327_2.fastq.gz	2129812390	2129812390	a7c0df3c891cb5d9938229a31ea5a06a	a7c0df3c891cb5d9938229a31ea5a06a	d029fdffce05663f462a6a539715c05ba4cb367779bd3cf0ea7eec1a4ea463e2	PASS	PASS
ERR11178417	x_32d_sporocysts_r1	1	ERR11178417_1.fastq.gz	1964529813	1964529813	45d55cc7c2176ee832a327aa53ed6e08	45d55cc7c2176ee832a327aa53ed6e08	aefabf44ddbddf311f8b02683a7dd8a46fdaabcfd9711b15a56494de0aaf8953	PASS	PASS
ERR11178417	x_32d_sporocysts_r1	2	ERR11178417_2.fastq.gz	2145934282	2145934282	eef10ce952e6b9914132044f24fd87c5	eef10ce952e6b9914132044f24fd87c5	3c4a7a9f9244e4753f059655eef1c7c07b151f55176ab15a485c46686a8fff5c	PASS	PASS
ERR11178336	x_32d_sporocysts_r2	1	ERR11178336_1.fastq.gz	1014966142	1014966142	8d04a8eb31aacc56ffa640fcbb712699	8d04a8eb31aacc56ffa640fcbb712699	aa5b9c59949539a439298d29d1bbc6172837df29ed6b2167aae8254d18db9614	PASS	PASS
ERR11178336	x_32d_sporocysts_r2	2	ERR11178336_2.fastq.gz	1103121550	1103121550	e6ae0ae3437f6cd5a86387c0cd2d31ff	e6ae0ae3437f6cd5a86387c0cd2d31ff	85e1b534a89e0992e6be2edb848f60f4c7f1a5ada1e331d282ef714d8d82d341	PASS	PASS
