analysis_id	variable	contrast	level_a	level_b	gene_id	group	gene_name	gene_display_label	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	biotype	source_file	result_dir	deg_project	deg_mode	contrast_label	padj_num	log2FoldChange_num	neg_log10_padj	significant
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_162940	Erasers	Smp_162940	Smp_162940		1232.13731224705	-0.247172032103154	0.204347768406031	-1.20956560490562	0.226445622917061	0.289938095756426	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.289938095756426	-0.247172032103154	0.537694717760489	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_210650	Writers	Smp_210650	Smp_210650		2584.66291222506	-0.249811683663679	0.252321720340664	-0.990052236986988	0.322148587250702	0.394759087757997	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.394759087757997	-0.249811683663679	0.40366786330137466	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_144550	Readers	Smp_144550	Smp_144550		2174.17282964795	0.256012561664584	0.258622142435076	0.989909677702298	0.322218268791548	0.394795039238023	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.394795039238023	0.256012561664584	0.40362831305682906	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_006250	Readers	Smp_006250	Smp_006250		3422.78105474812	-0.221766596660861	0.228441897370632	-0.970778999883105	0.33165834220933	0.404658754024699	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.404658754024699	-0.221766596660861	0.3929110600323378	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_149380	Writers	Smp_149380	Smp_149380		973.408907422443	0.157168783165035	0.167921862621654	0.935963791201824	0.349291830880674	0.423670036811883	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.423670036811883	0.157168783165035	0.3729722494929966	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_150560	Erasers	Smp_150560	Smp_150560		1710.56171763612	-0.173383265835238	0.20395071042798	-0.850123372806117	0.395256498291004	0.471474901545071	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.471474901545071	-0.173383265835238	0.3265414215069346	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_210660	Writers	Smp_210660	Smp_210660		3236.48500527467	-0.125421634941308	0.214489000732641	-0.584746231801628	0.558718362827951	0.633486026953346	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.633486026953346	-0.125421634941308	0.19826296007648844	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_019170	Erasers	Smp_019170	Smp_019170		4714.66907905883	-0.129298491116744	0.224147477723945	-0.576845621595551	0.56404374760394	0.638414540140198	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.638414540140198	-0.129298491116744	0.1948972303184428	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_138030	Writers	Smp_138030	Smp_138030		6320.32292692495	-0.172249809843337	0.306157303500065	-0.562618653463871	0.573694587280399	0.647764535724701	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.647764535724701	-0.172249809843337	0.18858283273936075	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_025550	Writers	Smp_025550	Smp_025550		3109.91939540225	-0.0590078311032716	0.133836983678331	-0.440893312756459	0.659290235124542	0.72852464328464	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.72852464328464	-0.0590078311032716	0.1375557530751563	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_159100	Readers	Smp_159100	Smp_159100		5410.19369593177	-0.0962341622454522	0.24122928124403	-0.3989323424966	0.689943057326314	0.756078696416048	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.756078696416048	-0.0962341622454522	0.12143299862512158	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_125340	Readers	Smp_125340	Smp_125340		2437.82035409337	-0.0871194381645315	0.296297234980515	-0.294027172309794	0.768737140111523	0.825146611070678	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.825146611070678	-0.087119438164531507	0.08346887966579616	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_161400	Erasers	Smp_161400	Smp_161400		2441.58736390014	-0.0161495586352691	0.287141562845378	-0.0562424975166881	0.955148626598571	0.973147783435046	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.973147783435046	-0.0161495586352691	0.011821202222124032	FALSE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_055310	Writers	Smp_055310	Smp_055310		1119.11714353247	1.05358961710079	0.143205314182739	7.35719636602551	1.87812973146345e-13	1.92858106527821e-12	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	1.92858106527821e-12	1.05358961710079	11.71476210143726	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_070340	Writers	Smp_070340	Smp_070340		4500.55093089513	1.16339334474593	0.207164538766434	5.61579385967012	1.95661816938795e-08	9.17903423088711e-08	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	9.17903423088711e-8	1.16339334474593	7.037203010548295	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_162940	Erasers	Smp_162940	Smp_162940		1232.13731224705	-1.14362491408843	0.205150484176959	-5.57456600054603	2.48147715378922e-08	1.14545921825383e-07	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	1.14545921825383e-7	-1.14362491408843	6.9410203683712295	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_160810	Erasers	Smp_160810	Smp_160810		2978.31204166108	0.999679048396173	0.179679939175188	5.56366533172903	2.64166344956912e-08	1.2148175995058e-07	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	1.2148175995058e-7	0.999679048396173	6.915488924925581	FALSE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_171150	Writers	Smp_171150	Smp_171150		2852.5025064119	0.706314917626916	0.129764436826157	5.44305462191579	5.23745781153237e-08	2.29528715376873e-07	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	2.29528715376873e-7	0.706314917626916	6.639162973962902	FALSE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_041760	Readers	Smp_041760	Smp_041760		10038.6207043123	1.47358511346401	0.278179639973622	5.29724286652948	1.17564284833449e-07	4.85231586410853e-07	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	4.85231586410853e-7	1.47358511346401	6.314050936252614	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_078280	Readers	Smp_078280	Smp_078280		1064.43362120423	0.996692473108717	0.197049418584992	5.05808380590994	4.23490326806761e-07	1.57879275050064e-06	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	1.57879275050064e-6	0.996692473108717	5.801674876465018	FALSE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_062530	Writers	Smp_062530	Smp_062530		3786.4864984404	1.20125666292087	0.24243741412446	4.95491451787297	7.23620947674593e-07	2.60535489107563e-06	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	2.60535489107563e-6	1.20125666292087	5.584133110468853	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_140390	Writers	Smp_140390	Smp_140390		6169.75930938339	-0.517999785205181	0.107267496234233	-4.82904704025213	1.37188000518859e-06	4.71556646672831e-06	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	4.71556646672831e-6	-0.517999785205181	5.326466129311112	FALSE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_001500	Grupo HP1	Smp_001500	Smp_001500		7803.69738487252	-1.26256341058056	0.269116255676678	-4.69151671052317	2.71187117350273e-06	8.85497874671261e-06	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	8.85497874671261e-6	-1.26256341058056	5.052812476845054	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_006250	Readers	Smp_006250	Smp_006250		3422.78105474812	1.06696859104434	0.228396729556921	4.67155809592463	2.98923524390264e-06	9.66391017404403e-06	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	9.66391017404403e-6	1.06696859104434	5.014847115467388	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_019170	Erasers	Smp_019170	Smp_019170		4714.66907905883	-1.04285360776032	0.224490121103494	-4.64543206905546	3.39365432711758e-06	1.08957681250566e-05	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	1.08957681250566e-5	-1.04285360776032	4.962742147637598	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_144550	Readers	Smp_144550	Smp_144550		2174.17282964795	-1.15947444926227	0.258795626609419	-4.48027064619672	7.45484488811686e-06	2.23439853216268e-05	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	2.23439853216268e-5	-1.15947444926227	4.6508393626068445	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_159100	Readers	Smp_159100	Smp_159100		5410.19369593177	1.04273724881022	0.241201451183737	4.32309691211563	1.53854108512531e-05	4.37043920436466e-05	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	4.37043920436466e-5	1.04273724881022	4.359474916702958	TRUE
smansoni_prjeb32839_primary	condition	condition__sporocyst_1d_mixed_vs_miracidium_mixed	sporocyst_1d_mixed	miracidium_mixed	Smp_150560	Erasers	Smp_150560	Smp_150560		1710.56171763612	0.858700918595645	0.203895144442783	4.21148292149063	2.5369973740096e-05	6.92719204856527e-05	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__sporocyst_1d_mixed_vs_miracidium_mixed	6.92719204856527e-5	0.858700918595645	4.159442771872909	FALSE
