gene_id	PRJNA602528__pzq_0h	PRJNA602528__pzq_0p25h	PRJNA602528__pzq_12h	PRJNA602528__pzq_1h	PRJNA602528__pzq_24h	PRJNA602528__pzq_3h	PRJNA602528__pzq_48h	PRJNA602528__pzq_6h	PRJNA602528__pzq_96h	PRJNA602528__pzq_9h
Smp_097700	1386.9073770510306	1510.1420648881124	2092.5606762665025	1176.0883656572616	1983.3361179219996	1093.3505244357912	1876.233509109169	1348.2686640057589	1676.6931900668358	1262.4077058157131
Smp_097710	617.1476502427663	616.7698209586231	641.4562475595611	548.078305739208	622.2395098920514	499.6863804379474	760.1330656782183	480.2599452889642	649.699894576199	497.9163588167163
Smp_097730	2387.9556839394977	3013.441230171475	2327.724432144043	2016.5179216520305	2251.8181641355986	1892.6003139754166	2520.323903139902	1680.0859178388791	2253.6417710991086	1955.4502401024354
Smp_097740	747.9554376021446	722.2455908417307	532.1543138862748	670.8373136852346	467.9116070682539	618.8565101575963	736.3706542167431	601.7846669531467	636.4734785881483	588.6959821531725
Smp_097750	3844.062354090741	4893.7013327613395	2546.863022372463	3014.0020513396335	3524.4770740267036	2765.3347021553977	4264.834717604563	2701.522319318305	3951.526426645311	3232.2011372864836
Smp_097790	3690.598695372375	3547.735437680473	2707.838046133552	2871.6157748736905	2966.9143825295996	2739.0078327675137	3124.1034062674894	2480.07168091387	3225.936599983784	2472.802224157678
Smp_097800	19706.895145608527	19855.89041074671	14159.931950910042	16431.753098091198	17318.601882656156	16443.695971466557	15863.398064563593	14620.60342097214	11608.302892675822	13917.964981497023
Smp_097810	2411.5487222253714	2916.5018554415656	1928.9841576381875	1942.5559453706728	2102.140936114026	1812.1252629700643	2752.900823357842	1871.2105142351543	2625.0233951333853	2034.4994609744158
Smp_097820	838.0747598117442	807.0150941450702	1274.6546688786166	994.6763113019272	688.9609468173687	905.9872231462479	752.0808608441545	738.2954485403795	858.0754108145801	1053.7910892386735
Smp_097830	2605.115528113987	2581.274842154665	3029.150286656043	2454.149026883745	3007.925573134845	2748.039999855778	3331.0157357357	1996.5798901426938	4304.193784088774	1533.6400181368447
Smp_097930	0	0	0	0	0.9993265999602159	0	0	0.9988922927851129	0	0
Smp_097940	213.36353426597557	180.90540293189125	186.9301940041752	155.1070910845281	143.514153447826	157.808473910228	190.54989281162614	140.5578355260873	135.48609453128068	139.10657447382317
Smp_098090	1676.7349638996313	1750.7130511785647	1160.0580071800318	1108.8594820936232	1180.1949358261347	1073.6494918727883	1571.638365100904	1092.4577524864571	1482.2530938320258	1096.8685012080196
Smp_098300	442.12550433082214	420.3482537447093	481.9782314695407	299.993941890983	267.84078076558717	247.84532014192357	397.2065849187954	361.79946753417795	356.39570720383017	455.914697999795
Smp_098320	716.0472749184588	795.8469497184884	809.119653302795	709.9781678198099	685.3622220142462	687.672410427954	702.0402965747879	716.708496922833	586.57593432451	694.8243126123419
Smp_098330	2725.3337346313183	3129.050275602609	1777.3525716691724	2146.8110591190116	1839.140727578609	2239.0245662683237	2247.160556583947	1814.7838089077934	1651.8113581854775	2028.2465038526734
Smp_098340	214.8437145422035	217.9523688501512	140.88378543486036	185.90433797834962	151.04998467111935	132.02814360262423	348.0596090194092	130.99067366769094	179.05941641457534	156.99642188353616
Smp_098420	0	0	0	0	0	0	0	0	0	0
Smp_098450	2239.3157882708992	1938.5277100348874	2040.746634376221	1904.001081443621	2129.4061600305986	1951.8710180669393	2014.0199060988025	1789.9155573584633	1593.1367887581098	1536.9164571142144
Smp_098550	825.3795357626518	691.0025638381063	635.0649414033006	673.1560690279817	518.3970763511837	588.6494715559412	327.1669096493093	570.6152328884035	244.44111109345266	530.9043003298541
Smp_098560	2370.846098115383	2323.272762886097	1454.2737107959977	1666.5187132358371	1374.1854364731662	1691.7681297553916	1520.7582217497097	1511.5759302963343	1184.7885754190652	1508.4107907656046
Smp_098570	0	1.000104427246	0	0	0	0	0	0	0	0
Smp_098650	253.00871660341258	288.96884855465186	261.6669578058017	213.38025349545978	330.48749161201425	197.5726385135822	306.4361322260434	213.35690107455673	356.6311882018792	212.54087959074477
Smp_098740	1254.2908144059274	1092.6736856264356	1190.1572614879578	1154.0682267847699	1211.2497046667431	1254.0309896636652	1220.6581714191896	1064.2465991327624	658.3837460095791	1117.4125777465454
Smp_098760	3501.9123990369603	3423.9468421999445	2910.023999983967	2384.998381333855	2936.7046034587784	2235.8201520168304	2726.957541167969	2108.480378751042	3366.9848687862764	2031.2352359765343
Smp_098840	1605.2325033951493	1539.7687326603786	1653.830121953189	1345.8799073283524	1885.1248845693108	1124.5138130652833	1426.9056530145178	1179.1316264657967	1300.1317608389886	1027.6663296006482
Smp_098850	161.07868747565962	142.96658618876967	154.03158873277246	162.93061696585787	202.03260193965457	198.02750502373564	126.0327903599488	148.97343541551615	141.06737332630803	154.99717185214826
Smp_098890	2868.061821585421	2526.834024953116	2447.681835454306	2492.5116884666254	3020.6305381096604	2692.5416553740747	2320.6867969172017	2524.5032376765103	1387.7276914379781	2317.350969419093
Smp_098920	1237.5126952447488	1203.061266201524	1106.32835068334	1029.0776995830872	1188.3351652406816	1014.2516740335672	1132.8392379675572	930.7251549013381	1016.2372389285462	980.7598978473445
Smp_098950	2059.901697346471	2227.802062949123	1740.5812687358684	1455.603594345002	2063.4543243903013	1344.8926368446562	2343.116498943004	1474.7793153706261	2004.0195520949655	1516.1541150950418
Smp_098960	12890.252298836804	13777.41296407612	8486.815323020317	11111.992654158732	9767.294240817897	12246.670490847122	9636.526656634755	9438.313464148965	5459.325022610208	10103.583121935651
Smp_098980	593.1131135851375	481.1329053066752	868.9110766379731	565.9596912392867	871.5783439502118	544.6838964353489	599.1047394893151	551.1998544671045	495.51220474865073	547.7140283217574
Smp_099030	9626.324175051815	11843.706834914416	6345.2698403420745	7196.688897291976	7164.687392929662	7061.788819181162	7949.457165594912	6612.292557915898	8702.048912074642	7611.894298113641
Smp_099090	566.4998142841586	599.2871024127778	422.54517070946036	559.1606766262215	264.2016218591511	641.5228897483072	230.10459872232843	421.66716386888214	95.12370257946574	413.9980770791263
Smp_099150	2832.774580303375	2111.2708812111455	4037.78725698843	2504.508895621657	6150.207846852071	2283.2844882473023	4697.272840637427	2462.429849018299	3205.582879336766	2079.3826672927453
Smp_099160	12816.764666575755	14083.993369232641	8815.599278758804	9366.610899499592	11015.823274023458	8950.5949135574	12893.436594626663	9460.893176399208	12556.942200063373	9333.599993231903
Smp_099170	520.1126190026636	532.3299573843871	589.6194749841803	483.6033898346748	627.165307757507	496.4423540299899	596.4023449261459	459.7933538095322	466.02229997468737	498.59684364705817
Smp_099210	254.09887884680356	270.40120334863076	292.42043303541345	261.25601520889865	235.1015729405112	229.93695116923746	320.3719129209107	172.6653686076831	356.7643257944061	255.89607257146204
Smp_099240	2065.0979038639875	2646.9628650206414	1517.974949487993	1433.237809286227	1637.4857539157463	1363.63679216674	1938.7078328119308	1337.9387053346993	2683.665011120268	1594.6183850581385
Smp_099300	545.4031140725491	635.8364026685424	482.21451935226304	557.5295490968182	606.5484724786874	553.4361586414971	533.320983288059	448.143526077764	369.9643671270245	563.1922928494203
Smp_099310	4306.893443364481	4506.78980004562	3122.652775593424	3684.929802543659	3117.342641348856	3454.638082654708	3332.5731120672285	3159.762360398393	3322.616670823379	3101.205475141646
Smp_099320	1798.4812835318285	1534.2116457718007	1427.4167086997759	1629.0816237756637	1487.326320580871	1818.5217111832178	1436.4792539099708	1378.5238764255068	790.2729307580142	1409.9369671798443
Smp_099420	1350.484706508671	1264.5967748574703	1338.4221284188427	1163.8993422894555	1704.4370839944447	1057.8088175730393	1831.0974495144674	1068.357567085336	1080.0127511680896	1083.7707890537433
Smp_099440	579.0831925215481	575.6391117662458	214.99879587286696	315.9702604403733	116.94652138776264	216.95313542885216	96.0458402282737	226.86205822431543	253.2519710111974	228.96386493081812
Smp_099570	1774.4627272068096	1929.2883095632715	2056.6954765893256	1443.5796814266773	2314.982507936008	1404.3431983686767	2293.819399481422	1628.6392716127166	1964.2995616667376	1487.7297359943618
Smp_099630	7765.030769056331	6312.051642813143	6561.765158484126	5453.603102864259	8234.215124128717	4658.807133416797	7607.795222757687	5451.13633997083	6003.21627210667	4686.564456586041
Smp_099670	23.005187863029352	13.999907915710713	9.999686540492718	18.99895473863052	20.98864015263617	16.990256227690036	11.005531921019884	7.994742150773017	3.003188532069625	12.99772300261206
Smp_099690	938.6581917790181	892.4046610212525	969.5856587116226	898.8360285468399	1075.0225872816038	879.8445178829123	915.2949820619152	825.7559541677211	629.3636730734223	767.960250116891
Smp_099770	2749.8379107149035	2192.65449133077	1444.2792703733912	1974.408080934504	1015.6230802052306	1593.526027117084	2722.5170171081995	1305.273790628382	1659.2516557509741	1552.9084670647037
Smp_099850	2151.4795152360903	2210.5930258639783	2287.3341499634707	2203.9031075542457	2054.313162951077	2377.4501631693806	2241.5448401365356	2209.802085825584	1802.8340218831452	2195.4370068668945
Smp_099890	9133.318413404893	10793.356048040832	5753.81197991983	7145.535671256568	5369.19256830073	6478.15646490615	6125.18645730037	5819.405733280407	5142.969360222693	5926.914926481108
Smp_099930	3222.6033800056493	2972.639437239369	3371.400561630315	2826.0295512099838	5480.829052115205	2345.569700529942	4367.978923524102	2544.5629912180357	3149.6648853521933	2101.6357347651415
Smp_100030	1045.369139702306	979.1370955736708	1321.9053989639501	958.1841926163336	1355.1101653049375	1062.272893364372	1002.5426272624602	850.824001907995	669.781751847132	866.8252582204817
Smp_100040	2653.4869644043415	2764.6203525660253	2738.617231840961	2522.013393095596	2971.8093893032806	2529.286998523895	3613.263429102693	2416.097240965403	3277.3210529574844	2444.1590396818824
Smp_100070	1152.2002174581178	1195.410628859575	793.9880078035261	921.9267621611781	791.1797385549307	1033.8416536012307	876.7583721540186	821.3003241485337	788.804442401312	805.2835679798558
Smp_100080	412.1127833245101	458.5094993646607	485.9773729039777	308.31261616544947	388.57012850444437	311.16346804717074	423.5993926581382	329.2862891440486	498.5106258451482	367.32469558023286
Smp_100090	6763.316000887338	7668.608820130582	4978.098509718952	5522.53293449605	5102.432879420595	5757.6786224626885	5653.564749237626	5259.886703103726	5061.1117250620555	6278.951556242416
Smp_100110	1491.263737392382	1109.7203161976508	1686.3406793629192	1683.0674973127143	1689.9375797041926	1823.020381498109	1121.5036159580507	1266.092413358982	655.4720247802672	1177.4018864184725
Smp_100120	989.2868149458565	678.8371464865479	880.9880358966288	834.9264005300455	945.8568808380861	850.4246034971352	851.5333610788529	813.2489983536223	559.5626891445985	690.3673208820861
Smp_100130	1140.3274944675154	999.8368600834353	1079.1895556288446	972.0830930560494	1273.9502792756373	978.8788913669338	1089.3757620988097	945.4170447857717	809.3468982179563	911.9386709617955
Smp_100140	1395.0645659765228	1457.6580818480488	1337.313793612954	1317.836415654796	1391.0508885470185	1373.780244617529	1269.0370247202547	1176.7274550703667	752.9065638242458	1311.5537964757225
Smp_100350	248.8730197748819	322.9301169774421	186.05114753822434	194.87719494473848	194.09184720687432	174.06389511925505	204.02177657304637	182.00600324662545	163.03280233713514	190.00184998118672
Smp_100380	269.8929111084993	228.9552199947123	251.08039328094225	293.9826779368764	274.0067267899241	309.8186113429931	206.06436661749382	242.93307880288899	187.10310205117483	225.9898480146104
Smp_101230	818.0383849435771	703.04524055666	720.6834209996836	760.4784917852419	811.7235634397935	819.243151057195	717.7444237806069	693.5189100999988	460.9551063355527	676.6677994854807
Smp_101290	8583.774771988778	9349.94220128386	6450.007521702584	6616.583619983721	6212.482112883679	5749.406039500802	4954.733016352583	6876.6118554919485	4047.495560091141	6866.380047164489
Smp_101310	689.627385048439	713.9888677060608	781.9828500082999	544.9624437592404	940.5165050983546	587.7609865669377	893.4108529998472	566.721890512489	672.4252241433636	579.9021875532345
Smp_101370	3545.038091479106	3991.655327408947	3586.2143062460723	3017.8782823411275	4290.068256237717	2799.6712580349795	4389.053307815029	2811.936813183088	3629.758038810423	2641.6344472442665
Smp_101450	0	0	0	0	0	0	0	0	0	0
Smp_101820	2737.992691616791	2871.220225590828	2427.8417581320464	2025.1084263644434	2931.120944616439	2219.6411302674724	2392.765441519863	2004.560115954743	1716.9752051266591	1883.628338093051
Smp_101840	13.189977295978451	4.017332009222419	5.965843621816964	2.846316055927819	6.350612601748683	7.036729455465763	3.9665907678183694	2.8292938893984276	0	4.951390194705449
Smp_101970	2268.4567763591795	2379.3361135410896	1297.3622999897875	1935.0903415982812	1264.868186482887	1946.7163913892032	2275.3164184823145	2008.1791027459558	1574.8681511882123	2198.281257649699
Smp_102000	0	0	0	0	0	0	0	0	0	0
Smp_102020	10.457420458593937	2.174113002990979	202.8547214397053	6.483811391965972	268.1310242958846	11.570266403585988	378.90742584809357	62.732625863509554	55.94696154203605	56.01068712513764
Smp_102040	15126.81810039467	14372.173729139693	9397.179967236043	12304.827876838546	10672.679296137827	12626.1105097	10798.065666543658	10522.039877374951	8261.670626196794	9851.338126027316
