	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000680	938.224197868809	947.842601392433	802.285641524572	956.806699646922	836.245262819677	863.079372511447	743.231274400355	738.646901589892	773.738276846176	820.224988378035	904.491062834914	784.511765192671	831.21933210028	1014.97397492383	998.544740613437	947.847316109207	876.299380022099	999.304396978894	1162.59925379486	1050.80860380427
Smp_000690	46.4275891728895	63.8151454402826	85.653271337143	63.9809951131681	72.2164244487581	67.7706666637164	69.284271342406	57.4936242662317	68.8945041027417	64.7767426719064	77.4066208522259	82.6381775132729	75.8609559935066	53.5823824325269	68.9656386999553	81.0388939097699	65.3624063480453	83.6111541827099	75.006403470636	66.6838622680292
Smp_000700	2504.18809101273	2508.49829061582	2559.12940695086	2510.76935368341	2416.63368191569	2373.96658813195	2361.96379576384	2224.7109186408	1945.8281094659	2128.37868779121	1525.86475899114	1556.90326435006	1551.89841403859	1881.56596772681	1691.11516868482	1341.75788903771	1692.7755406748	1546.30267072843	1402.20304265939	1448.76068508121
Smp_000710	2096.01220286774	2063.6691885762	2025.224015616	2022.18720918286	1956.12314919897	1817.8484705091	1817.58737807351	1814.45980311396	1725.89565406099	1866.74794790857	1963.79536737428	1809.22516635725	1788.15110556123	1823.8618635687	1859.15820382696	1652.5779504891	1629.62880911821	1732.66488185857	1743.89888069229	1769.273442434
Smp_000720	2607.68292521063	2423.09861068838	2505.83403811886	2624.19020865676	2451.17197186944	2834.40847046484	2903.64082625901	3166.04720747435	3053.43975234844	3123.58500702323	3030.5222245981	3074.14020349375	3089.70836482125	2841.92712978672	3131.62280519234	3176.92980301971	2860.43615577378	3163.12077269529	3213.816037596	3262.13152030536
Smp_000740	8567.82468528031	8972.59714050798	8131.35055893944	8432.88903771892	8505.8388622472	8094.60815651036	8794.60348182696	8781.90748961491	8327.40236770062	8410.88147056779	8900.70103333677	8825.75735841755	8189.73206347042	8450.55996786833	8666.35814761974	8538.83231525221	7544.37266491845	7893.69884549054	8935.13781343951	8965.75283655308
Smp_000755	3631.0243698964	3239.55708911552	3442.30980473829	3353.18578934013	3205.78127661661	2651.02901949243	2362.86359149556	2591.11096481203	2572.94474937547	2246.15458355831	2673.17933107482	2638.91246859051	3185.07642378451	3055.22622908543	2797.47942895593	2919.45179831905	3354.53163426917	2512.36407869492	2197.06256832738	2743.71826847972
Smp_000790	935.322473545503	913.11965460875	974.543887213715	920.938566022873	999.517178964695	1046.45882348386	952.883679891012	989.085231020765	1004.26988672843	1032.22160075882	1115.50363200742	1123.87921418051	1064.22083979462	1125.23003108307	1079.16654360071	1015.55069583129	979.32825782495	912.671152885966	920.911953722809	889.47667896226
Smp_000810	1338.66215448498	1391.73324541087	1300.02631829486	1292.22221948262	1443.28187412808	1026.52627446512	1027.56672562374	1049.5022599107	1036.06735016046	1047.36421592888	1096.41706796167	1045.64840613461	1103.23504573414	1340.58999124457	1331.7167698259	1155.06069041014	1120.02360708261	1054.70937866623	1196.9771887189	1152.98548953754
Smp_000820	7002.8280335775	6247.31504699944	6877.95768837258	6106.30739724008	6034.78120828318	5553.20815662099	5333.98909763354	5205.60916661372	5548.65736889004	5604.45012571741	4609.40521704967	4164.96414666895	5533.51487575493	5002.7397444215	4353.57736131267	4842.8432676965	5699.8234010287	4098.9612815596	3533.63500794996	4287.12701613491
