gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000820	7239.939119276962	6657.1873483122145	7227.376233109701	6299.310444425688	5765.885146176412	5571.589644893277	5928.185798385026	5342.433949882834	6282.3920809364645	6661.844852018932	4347.1768764762965	3780.456570589721	5106.03359067945	4855.1648992751725	4481.521356217026	4720.689267211593	5145.221269043059	4069.2858982202247	3391.7100791411094	3985.6527419026474
Smp_000830	21.982150523680872	18.979208061709375	24.990230560544838	26.980623160861974	16.991461273763285	15.993998285559183	16.98787713245923	22.9795700995227	19.981063108289707	13.985970724514429	15.997788028813053	14.004388479774859	12.002291078993249	26.004584764940606	18.006682243913332	16.007671496828873	12.009333735402409	12.008289083586279	13.004829177532146	14.002557111738831
Smp_000850	2743.67540319787	2776.3410263238934	2459.3166230119914	2473.0512335943117	2128.1125693068766	2517.511829079915	2854.115054484909	2693.794523646799	2738.4691723591773	3245.521187780629	1781.8361578787708	1787.3725628361378	1808.1122779857346	1783.6262648741329	1881.3591689849416	1740.9841770165156	1609.0845154038636	2068.4886471904056	2040.728386040825	1881.9098739177255
Smp_000870	1017.9576816936726	914.0996288777995	938.7911851013708	991.2742152439762	844.2377279644552	990.6112026113733	981.2600587908485	941.151732527367	1144.0676165685818	1097.084918969738	628.9125293765144	613.2000697242088	645.1314196953527	734.1580417916572	762.3198915542575	858.4213283340899	815.0454156454705	805.5898308616851	837.3144546936754	739.1326633530891
Smp_000880	8396.511628677834	8610.981538053762	7452.1908386499	8093.540418701737	6910.040653870964	4807.994220105773	5565.2559988459425	4809.132039019683	5614.800722882358	6264.607611277503	11179.936037084677	10051.746075501436	9601.865122521	9519.856049187889	10273.375839750419	6201.972446866513	5023.825893637324	5764.986815319139	6409.6697121771995	6775.883161375259
Smp_000900	267.8016721977782	214.7864128234267	263.8884298404379	224.85067812929609	141.93167247452686	167.22736023406972	174.89466618638463	169.85801968372735	195.83972980528605	208.74293556008823	86.98912479299383	97.02664924195027	105.01459017964504	98.00877744768455	79.02410604508161	88.03792020069965	134.0681655729689	140.07312291668097	143.05035816424268	103.02052127938863
Smp_000910	151.88144766640895	141.85170378953518	145.9409176439537	165.8847653069358	123.93695848043959	135.95293877551808	157.8949644630308	148.87116678624315	148.86732385571275	127.74673101987014	185.97542277708692	195.05785077868967	213.0358071251777	281.0388414211459	279.0956394934494	254.11633202203112	283.1867056342393	307.18940513572136	264.0957613230226	222.0422584391841
Smp_000950	321.1240945696337	406.56964334013537	384.3545910069883	321.73123574833227	352.59181707257426	28.03965091964012	26.98194463125107	19.982242646367197	22.978210697130063	28.013039280642676	24.996566480606337	19.00605331967055	24.00637149648301	33.00757494775367	23.98127745586779	22.010794929877083	20.02120291370967	16.011041083111973	8.003396919906976	23.004202175234408
Smp_000980	3756.9866811725983	3941.0315719827304	3575.2851725299342	3439.9798809575973	3347.8003865914975	3534.617607443539	4168.444318127534	3628.5215237294074	3574.4550384733834	4069.09189945706	3389.7978882746866	3098.0049924495675	3183.1642488497187	3191.7973398637155	3406.608246442882	3542.0543970541466	3038.286078301954	3669.5955088758365	3631.434111593416	3509.8913470407165
Smp_000990	1463.3370429213226	1507.4448237459937	1658.6416139154594	1485.5858750852253	1346.6426454743969	1894.2511344263023	1878.879825661518	1714.4510154486916	1982.1360229112672	2017.0667460440957	1444.1579642243803	1366.4441643818047	1443.2970936275576	1588.9519986590446	1621.6351046813152	1496.7376820098862	1494.2777161429765	1823.3478709707595	1583.5959548325495	1426.3378413123066
Smp_001000	693.7040433967506	687.63512246169	610.7031682488414	558.7644020411427	490.9132035996483	398.9930564867074	412.95211617853033	440.74009420744306	560.9847040625331	626.4218064139238	553.9657607036422	461.047074618047	672.927741681563	679.8545362317293	630.0001882543811	428.0903140411829	577.5845078962291	373.91742257022844	345.0924708309435	376.1240405996707
Smp_001020	507.66497600263165	486.4989987410113	459.175538899304	523.095482905733	422.5868946948942	610.793775528353	574.6312620937036	524.6601601544846	590.7859057328578	597.9543489394085	324.95789711642885	358.3772238579226	349.96467672546896	368.8136981433682	395.42744862095145	324.1451141914285	329.698079842038	360.5346272191953	346.736901007521	321.11494645709644
Smp_001030	1027.2814595233242	1135.7282701000934	1069.683430133963	1049.3299609057142	839.6827861766228	780.6357598009824	916.6633673795828	848.2635716006167	942.6204985544139	1002.182807828412	749.9321481533328	745.5053117011784	868.1409555412279	1021.0952231540377	873.5130311865433	778.3178122889359	790.3026975703744	729.3233487341565	631.2165973543096	670.1391293282561
Smp_001040	15509.14836862071	13796.815586805094	15448.688020326932	14407.610157032675	13129.553898968314	16267.118502993055	18584.985550252284	16691.957055379855	16680.182748142193	15914.846579419838	11710.252794103275	11548.830908789743	12275.888538859568	14592.89519868061	14356.213407595096	13425.208223222506	13483.539843534152	14654.388431259218	13239.364818754302	12090.389580345685
