dataset,sample_id,file_prefix,run_accession,condition,stage,tissue,sex,infection_mode,treatment,time_hours,batch,replicate,biosample,library_name,technical_unit
PRJEB14695,whole_male_mixed_sex_r3,whole_male_mixed_sex_r3,ERR667116,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395950,9645662,technical_run_5
PRJEB14695,whole_male_mixed_sex_r3,whole_male_mixed_sex_r3,ERR667140,whole_male_mixed_sex,adult,whole_worm,male,mixed_sex,untreated,not_applicable,not_declared,3,SAMEA2395950,9645662,technical_run_6
PRJEB14695,whole_male_single_sex_r1,whole_male_single_sex_r1,ERR506086,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395946,9645658,technical_run_1
PRJEB14695,whole_male_single_sex_r1,whole_male_single_sex_r1,ERR506110,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395946,9645658,technical_run_2
PRJEB14695,whole_male_single_sex_r1,whole_male_single_sex_r1,ERR667064,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395946,9645658,technical_run_3
PRJEB14695,whole_male_single_sex_r1,whole_male_single_sex_r1,ERR667088,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395946,9645658,technical_run_4
PRJEB14695,whole_male_single_sex_r1,whole_male_single_sex_r1,ERR667112,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395946,9645658,technical_run_5
PRJEB14695,whole_male_single_sex_r1,whole_male_single_sex_r1,ERR667136,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,1,SAMEA2395946,9645658,technical_run_6
PRJEB14695,whole_male_single_sex_r2,whole_male_single_sex_r2,ERR506087,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395947,9645659,technical_run_1
PRJEB14695,whole_male_single_sex_r2,whole_male_single_sex_r2,ERR506111,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395947,9645659,technical_run_2
PRJEB14695,whole_male_single_sex_r2,whole_male_single_sex_r2,ERR667065,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395947,9645659,technical_run_3
PRJEB14695,whole_male_single_sex_r2,whole_male_single_sex_r2,ERR667089,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395947,9645659,technical_run_4
PRJEB14695,whole_male_single_sex_r2,whole_male_single_sex_r2,ERR667113,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395947,9645659,technical_run_5
PRJEB14695,whole_male_single_sex_r2,whole_male_single_sex_r2,ERR667137,whole_male_single_sex,adult,whole_worm,male,single_sex,untreated,not_applicable,not_declared,2,SAMEA2395947,9645659,technical_run_6
