gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000700	29.355569	28.067241	29.693341	28.788901	27.04617	31.228946	30.515823	29.313354	25.760736	27.135626	19.574648	20.778779	21.132846	26.384016	23.667085	19.120948	24.962212	22.483423	19.616794	20.114361
Smp_000710	93.002354	87.418372	88.942022	87.80181	82.882552	90.537448	88.875424	90.488259	86.511784	90.089919	95.345359	91.407348	92.175786	96.809127	98.541014	89.148366	90.971382	95.349517	92.347228	92.988656
Smp_000720	33.656087	29.852223	32.004225	33.134707	30.209662	41.058033	41.29209	45.928988	44.515461	43.835605	42.785952	45.170189	46.312451	43.880267	48.270621	49.82689	46.450920000000004	50.615684	49.506845	49.862121
Smp_000740	366.747113	366.658074	344.468608	353.138062	347.674042	388.859021	414.827989	422.500936	402.659971	391.544375	416.854531	430.091191	407.125603	432.676419	443.015732	444.243286	406.295082	418.970134	456.46171	454.477418
Smp_000755	78.120928	66.539302	73.303555	70.580655	65.86035	64.015628	56.016451000000004	62.663895	62.545994	52.563406	62.91584	64.624979	79.574595	78.618045	71.878815	76.353984	90.803913	67.02118	56.400885	69.919168
Smp_000770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000790	10.679022	9.954411	11.006586	10.279238	10.898935999999999	13.402665	11.988633	12.690563999999998	12.954072	12.809467	13.937116	14.598122	14.113226000000001	15.366122	14.712167	14.08454	14.058814	12.920805999999999	12.549973	12.028724
Smp_000810	35.10558	34.837815	33.742374	33.15362	36.135014	30.200962	29.687568	30.93493	30.682096	29.866221	31.456424	31.232421	33.605411	42.057715	41.702108	36.79946	36.94525	34.285662	37.475058	35.794168
Smp_000820	797.325851	679.0922149999999	775.1179689999999	680.213045	656.131074	709.557713	669.3046469999999	666.2242480000001	713.732181	693.952624	574.245809	539.9472099999999	731.726954	681.3807690000001	591.905517	670.150529	816.591222	578.77541	480.12019399999997	578.002831
Smp_000830	0.447737	0.35807	0.495689	0.538835	0.357608	0.376719	0.354726	0.529999	0.419837	0.269451	0.390843	0.369933	0.318113	0.674975	0.439858	0.420288	0.35251	0.315882	0.340477	0.375569
Smp_000850	133.591422	125.214809	116.612874	118.067392	107.069094	141.750642	142.468359	148.521953	137.550765	149.47366	104.064644	112.867017	114.560709	110.67121	109.860999	109.271445	112.907923	130.073828	127.720723	120.663034
Smp_000870	18.077298	15.036071	16.235251	17.260311	15.491456	20.342986	17.864424	18.925344	20.958722	18.428009	13.396262	14.122517	14.907899	16.614157	16.235551	19.650351	20.858608	18.476032	19.112729	17.284458
Smp_000880	1042.962434	990.739486	901.446488	985.733068	886.898791	690.623546	708.689538	676.420586	719.471227	736.034249	1665.707279	1619.263023	1551.99325	1506.90235	1530.41402	993.037443	899.298921	924.823864	1023.377215	1108.320225
Smp_000900	8.266744	6.141367	7.932823	6.8056	4.527143	5.969476	5.534761	5.937281	6.236362	6.094911	3.220889	3.88435	4.218279	3.855415	2.925545	3.503136	5.964123	5.584277	5.675975	4.18769
Smp_000910	3.792522	3.280915	3.548842	4.061448	3.197775	3.925723	4.041967	4.209343	3.834706	3.017224	5.570171	6.316739	6.922141	8.942824	8.358001	8.17941	10.190511	9.906507	8.476472	7.301105
Smp_000950	6.547451	7.678411	7.631636	6.431964	7.4284	0.661119	0.563993	0.461343	0.483309	0.540249	0.611321	0.502571	0.636928	0.857626	0.586405	0.578497	0.588287	0.421609	0.209751	0.617641
Smp_000980	225.153868	218.769469	208.658776	202.137399	207.311312	244.957006	256.103117	246.235011	220.983021	230.659652	243.670612	240.784201	248.23514	243.758642	244.843138	273.628294	262.402604	284.019978	279.735926	276.989309
Smp_000990	25.343127	24.182116	27.974002	25.226942	24.098604	37.936832	33.359224	33.621823	35.412664	33.042316	29.999922	30.691198	32.526402	35.068046	33.681774	33.413929	37.294679	40.782731	35.25255	32.528783
Smp_001000	54.044666	49.621936	46.333488	42.683336	39.519097	35.946087	32.982184	38.881366	45.085713	46.161494	51.766777	46.583273	68.219966	67.496238	58.863391	42.991246	64.847594	37.622292	34.557667	38.586846
Smp_001020	13.79465	12.244822	12.15062	13.936877	11.865149	19.192686	16.007512	16.143285	16.56048	15.368656	10.591322	12.629321	12.374343	12.771017	12.886242	11.353741	12.910695	12.652356	12.11055	11.490094
Smp_001030	36.747815	37.631675	37.263492	36.804859	31.037091	32.292241	33.616543	34.360006	34.7847	33.909657	32.177599	34.585888	40.410737	46.547169	37.474638	35.889306	40.741335	33.694043	29.023568	31.567241
Smp_001040	200.632598	165.321542	194.621744	182.749631	175.504075	243.350279	246.477271	244.512546	222.599232	194.737854	181.706059	193.757127	206.647872	240.569168	222.73037	223.872421	251.372167	244.834256	220.14611	205.960254
Smp_001070	8.412155	7.735993	8.345535	6.821702	6.137267	12.021903	10.535438	10.744925	12.940707	11.947358	9.991633	11.109937	12.245234	7.499245	8.666645	8.264476	10.332635	9.222145	8.427585	8.056943
Smp_001080	123.758526	104.200096	99.740642	104.359476	100.87656	111.735587	107.981413	110.179579	108.673909	104.842923	164.52753	154.73436	151.603388	138.879193	133.235076	154.200807	149.191617	163.36291	162.607932	157.935845
Smp_001090	7.248087	7.700181	7.843717	8.001416	7.656599	8.366682	8.792609	9.042784	10.304859	8.660527	9.237032	8.748385	9.434962	9.81931	10.362979	10.118526	9.495039	9.899959	9.7609	10.416938
Smp_001095	15.6771	15.131435	15.061833	15.55931	13.957576	17.539341	18.574129	19.759516	20.068977	20.973483	13.466502	13.404479	16.14116	15.768106	16.106698	16.925918	17.156619	15.442749	15.095916	13.282245
Smp_001100	97.903421	92.108126	99.104097	94.097013	86.768094	55.633287	58.153708	47.411507	34.935997	27.966818	197.015192	203.482695	219.72782	237.438371	216.710176	145.645081	151.522563	122.760959	100.023089	140.911193
Smp_001120	49.992109	49.478171	42.981747	46.113911	42.231636	40.495053	41.919428	40.431439	41.815262	46.906284	9.102926	11.154675	13.69111	21.523811	20.628101	11.218991	19.806929	9.403388	8.846178	8.929388
Smp_001160	5.319442	5.125159	5.021423	4.272421	4.220014	5.421027	4.716016	5.506799	5.342499	5.21069	6.748026	8.430896	9.2085	10.844472	9.080262	10.682889	13.582338	9.928419	8.392814	9.68133
Smp_001170	77.355436	82.018743	86.1668	85.273814	82.915503	80.723392	76.384843	79.301546	88.271848	78.479982	77.446703	79.397649	79.459659	87.56107	89.762989	91.112539	84.608759	89.051138	87.907383	88.454322
Smp_001180	11.133776	10.106529	13.348632	12.647272	12.951071	16.799762	15.228773	15.620801	16.264359	15.684491	17.137045	19.564381	20.31853	18.314908	19.892524	20.876565	20.488124	20.404122	19.574594	19.574731
Smp_001210	7.027743	6.226405	6.084962	6.82577	6.422078	6.740077	6.552265	7.255332	7.440595	6.780245	3.448041	4.484229	4.456738	5.826232	5.852362	5.457687	6.220429	5.657367	5.690758	5.637379
Smp_001360	56.317777	59.020692	56.088707	58.129877	61.379185	54.522026	58.144097	57.852865	57.530041	59.851253	53.148278	52.310758	52.771684	59.257019	59.73837	60.010417	57.011528	57.569828	58.337961	55.982155
Smp_001390	16.628558	15.815483	16.98468	15.973384	15.38849	19.601915	19.008776	20.432297	19.308614	18.864222	14.34006	14.040652	15.281895	19.099904	18.219203	16.82845	20.839785	17.820695	16.339941	17.52954
Smp_001410	65.130627	73.455378	72.156799	70.143499	77.588983	49.07129	50.321036	51.249086	54.127512	52.263827	59.04496	53.699839	61.482416	59.398922	61.63649	50.555361	52.203904	52.850673	52.382209	52.845433
Smp_001420	33.911259	29.045488	30.695573	33.211532	29.597974	35.024733	34.564589	33.921458	34.019043	33.155015	32.11293	32.513963	31.517495	32.869591	31.346402	34.110961	38.047674	34.220893	33.045549	32.387811
Smp_001500	159.724953	157.389105	146.593784	152.734296	158.508233	245.505509	221.463405	251.628858	291.655641	276.620278	137.950163	131.140916	135.664392	164.09751	154.442424	182.945998	197.514807	215.319333	198.721141	163.880499
Smp_001530	41.982122	40.056732	40.437756	40.593653	37.999014	45.470871	46.323219	46.270431	46.815045	44.487187	43.896796	44.314767	45.576243	47.976214	48.133146000000004	46.385225	50.937316	50.146538	41.914159	46.313229
Smp_001560	11.339079	11.084697	10.181213	10.454186	9.472532	14.146017	14.071207	14.638816	15.944298	14.223128	18.296098	17.435007	18.60642	19.205074	17.544409	20.156912	22.613874	19.442864	19.418161	18.798387
Smp_001590	48.676831	48.261788	48.893337	50.641101	51.837738	53.158513	48.770132	53.732217	51.730091	50.100529	46.875059	45.715264	48.153311	55.257096	56.239493	55.173408	58.135771	54.726622	56.537374	50.484646
Smp_001610	26.694343	22.758514	20.535435	21.419219	21.390088	24.639505	27.159323	24.731831	26.439335	25.902253	42.008113	40.68424	40.532083	48.876863	48.501075	49.884586	45.631898	49.156677	50.585309	48.077129
Smp_001640	307.392176	273.813151	282.144532	290.723935	285.469929	293.116352	314.20587	315.96608	330.895197	314.702647	305.434501	282.582795	286.311624	289.261235	282.311359	287.731031	290.741975	308.53514	313.112395	304.352527
Smp_001780	17.574257	14.754114	19.890445	13.940599	12.56875	42.449808	41.658754	42.924433	30.231197	43.009097	12.127881	14.701168	14.930063	18.042019	17.859858	23.158047	32.727443	30.170735	27.753659	27.115097
Smp_001830	838.45001	913.099153	842.957486	867.442905	944.630648	906.692848	875.443098	871.696985	883.696267	906.932207	834.286088	798.653367	767.841728	854.248372	841.082282	840.536815	746.480861	813.093231	853.90004	814.920545
Smp_001890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_001900	0.362735	0.382032	0.513785	0.266239	0.499026	0.21455	0.301563	0.15559	0.27222	0.304091	0.229285	0.391899	0.302008	0.283417	0.230293	0.393715	0.392157	0.325932	0.336348	0.225266
Smp_001940	74.705275	73.403931	61.584356	70.047253	66.22226	81.928457	83.083608	83.550146	84.550886	77.733822	50.826169	47.675294	61.050844	58.98736	55.44858	56.807849	67.105852	59.667255	57.955328	52.049913
